"","101135-S45-L001","101184-S125-L001","101325-S44-L001","101432-S8-L001","101450-S103-L001","101534-S9-L001","101583-S11-L001","102681-S51-L001","103225-S78-L001","103584-S31-L001","104269-S50-L001","104850-S87-L001","125242-S105-L001","125359-S59-L001","125692-S92-L001","126221-S4-L001","126456-S38-L001","126681-S117-L001","126724-S100-L001","126858-S54-L001","127255-S102-L001","127515-S70-L001","128216-S76-L001","128348-S18-L001","128489-S8-L001","129227-S28-L001","129441-S5-L001","129700-S54-L001","207340-S80-L001","207639-S128-L001","208194-S70-L001","208823-S20-L001","208901-S66-L001","209012-S40-L001","209218-S21-L001","210494-S104-L001","224863-S113-L001","224928-S31-L001","224989-S61-L001","225117-S14-L001","230864-S97-L001"
"ASV_19",0.0240231893265565,0.0298453078936036,0.0165341204121232,0.0231020192222908,0.0246743132257151,0.0418385728397931,0.0283446981396564,0.0251792562948141,0.0132360727101594,0.0248107410475218,0.0343251478759634,0.01784565226717,0.0189855875831486,0.00964831522739827,0.0274200249272954,0.0218055319871033,0.0299229864156594,0.0238526669521958,0.0183111519045434,0.0402290115012413,0.0701749262623018,0.00935380986840342,0.0229545644482826,0.0361143867924528,0.0323465091229559,0.0121251576677381,0.0153526236616229,0.030196707849651,0.0428889124218998,0.0147393871762682,0.0221231493943472,0.0176835236541599,0.0133483930588356,0.0223922278828089,0.0150074049695573,0.009446905256556,0.0160835013640138,0.0236424372685605,0.0102055728760717,0.0189791735202571,0.0234694896634375
"ASV_22",0.00019853875476493,0.0871840736692173,0.0151676641797163,0.0780795344325897,0.00024780515434721,0.00906502411528851,0.00451424362660077,0.00262631315657829,0.0772790556307234,0,0.0241978849256139,0.0272403586289734,0.00360310421286031,0.0032774811268643,6.92424871901399e-05,0.00299790712144352,0,0.00378875234737917,0.00830656264341441,0,0.0648891744298105,0.000643241939374447,0.00738223249853748,0,0.110944283056435,0,0.000176975488894788,0,0.0191676374033676,0.0115311293997303,0.412628981606101,0.00114192495921697,0.00764965602217887,0.00125247533131358,0.012012506170808,0.0196777860530751,0.00130470881271498,0.01589973327809,0,0,0
"ASV_24",0.0295028589580686,0.00122561197787274,0.00631302779371977,0.00886165241160392,0.00594732370433305,0.0114184438375269,0.0594454608092376,0.00821243955310989,0.00870639449379375,0.0209774045036889,0.0143693612953337,0.0229934365750075,0.0215493348115299,0.0542441539311361,0.03960670267276,0.00376152497313196,0.0439886618889721,0.00856587487233552,0.0519045433685177,0.00932259208592998,0.0188943725724966,0.00302859746455469,0.00507006156503329,0.00525746855345912,0.00283970362633417,0.0956381983154982,0.0543314750906999,0.0103392930461722,0.0209149634650005,0.0362672618217325,0,0.033931484502447,0.00213060889208338,0.00577154172943148,0,0.00239112539688762,0.0213497805716997,0.0559080197840329,0.03125,0.0186248956145456,0.0220713073005093
"ASV_26",0.00817979669631512,0.01778793600318,0.0182011970156596,0.0180760074067543,0.00265505522514868,0.0118833168690801,0.0137328042956592,0.00727447056861764,0.0102555052257976,0.0110569606842217,0.0207922566768238,0.00913731714641157,0.0161215816703622,0.0152273982691954,0.00938235701426395,0.0060523785281973,0.0133704139480158,0.0143972589200409,0.0213859568609454,0.0249278005775954,0.0215226469643431,0.00972903433303851,0.0270217566927598,0.0100727201257862,0.00920455658191076,0.0112503560239248,0.0178302805061499,0.00865962450076518,0.0150375939849624,0.0170642116520203,0,0.0145187601957586,0.0377605503645138,0.0154866882182692,0.00809610004936646,0.00337109482184156,0.00538488909975092,0.0170650231763213,0.0171473109898675,0.0116911708884784,0.0221212423848996
"ASV_28",0.00297808132147395,0.0149392162708271,0.0324123418326911,0.00546689004496958,0.0181959784763523,0.0284153640536928,0.00997885433248592,0.00245956311489078,0.0018432456811185,0.00313986862635563,0.0011650833482703,0.0307151130367638,0.00260994087213599,0.0284109740379304,0.00148871347458801,0.00548673567509475,0.0281313509466253,0.00230619708101341,0.019229004130335,0,0.0137546359839967,0.0118463723834794,0.0177730729587431,0.00697720125786164,0.00166465384992003,0.00978557187614436,0.00391558269179719,0.0574446642529208,0.00251509054325956,0.0170642116520203,0.00389748766262898,0.07836867862969,0.139670397371393,0.0429565187955926,0.00997202567056113,0.0844341656540316,0.0251927410746056,0.0318771525493953,0.00567517537022603,0.00956550345420958,0.00324578048536902
"ASV_29",0.00107210927573062,0.0225247606744178,0.000929190238036676,0.00180760074067543,0.000389408099688474,0.000377709338137021,0.00755541828031077,0.00216775054193764,0.00111771280663568,0.00560553233294165,0.00113520941626337,0.00231650293852688,0.00224039172209904,0.000718099797459031,0.000934773577066888,0.000905028564964082,0.00387742004492459,0.00187790333739663,0.00484167049105094,0,0.0110679554945536,0.0141245209187639,0.00390004735771791,0.00275157232704402,0.00150145249208473,0.00415022175204459,0.00117246261392797,0,0.0724346076458753,0,0.00072902646926873,0.00440456769983687,0.0222558784269432,0.00118477396205338,0,0.00505664223276234,0.00208753410034397,0.00103581324287231,0.00124220576773188,0.00149302831692689,0.00182263058024568
"ASV_30",0.0216804320203304,0.00768491834774256,0.0240769588150092,0,0.00977060322854715,0.0226044511592771,0.00548836988286726,0.0139444722361181,0.015295017353962,0.0102286517827904,0.00480970305311585,0.0195615803697825,0.00371858832224686,0.00692321856011784,0.0142639523611688,0.0052321963911986,0.0106428495026206,0.0190425987546536,0.00355667737494263,0.00724527537113036,0.0154776158630961,0.0141781244137118,0.00610078836671588,0.0162637578616352,0.0139373959591344,0.00705944582333076,0,0.0153782986823933,0.0228211373504183,0.00539359278374483,0.00179452669358457,0.019347471451876,0.00639182667625013,0.00436673831728247,0.00575942076682574,0.00881972482458547,0.0117186573360218,0.00738016935546521,0.0125194855806703,0.0297087329503758,0.0169529611505043
"ASV_31",0.0187420584498094,0.0400476994931929,0.0402558006067066,0.0296270170178997,0.0309756442934013,0.0439014469173107,0.0358763572429851,0.0346214774053694,0.0260015295017354,0.0472906593724115,0.0388958594730238,0.0236798078160525,0.0277161862527716,0.0302154299392377,0.0352444259797812,0.0241812319701341,0.0280243876350412,0.0457615392218232,0.0223267553923818,0.0322237422100623,0.0710510177262506,0.0268285492214092,0.0314232387107558,0.0423054245283019,0.0376342331168195,0.0287463889001912,0.0310370763649235,0.031876376395058,0.0428094885100074,0.027897893709025,0.0238615971287573,0.0320065252854812,0.0461032960262861,0.0361525311849432,0.0353792989962152,0.0367292540472737,0.0264025619736686,0.0316699899008209,0.0320781371784879,0.0424880431206822,0.0605462898232298
"ASV_35",0.0380797331639136,0.059458743250853,0.0432073460687054,0.0228815801075743,0.01738176154064,0.0194956127607647,0.0156335384542279,0.0635526096381524,0.0126085848187148,0.0116348506154528,0.0520403895560734,0.0239371970314444,0.0163525498891353,0.031062419443933,0.0122212989890597,0.0634934102607614,0.0213124398331372,0.0866141732283465,0.0106011932078935,0.0348077215382277,0.0164121134246415,0.00991664656535606,0.050505613282447,0.0642197327044025,0.0375689525736854,0.00142409569923099,0.0206176444562428,0.0366914262252249,0.0113840940379117,0.014553401218208,0.000953342305966801,0.0136378466557912,0.0152479720710545,0.0362033072118884,0.0530524930064176,0.0056446238877347,0.0253113509666706,0.0129994561980475,0.0343676929072486,0.0501809347875598,0.0259912114251473
"ASV_36",0.0258100381194409,0.0307727980390208,0.0168074116586046,0.0126972930076713,0.00955819881053526,0.0212098320646174,0.0117607926061441,0.0238869434717359,0.0129615467576524,0.00866834896846647,0.0181036027962,0.0147998798850328,0.0148512564671101,0.0137543730436384,0.031193740479158,0.0136885570450817,0.0128623382179912,0.0187790333739663,0.0149380449747591,0.0348077215382277,0.0302835616038314,0.0109619147168395,0.0203638187035128,0.0335102201257862,0.0231093122694781,0.0102534890344631,0.0164144765949916,0.0150050390056362,0.0158583077411839,0.0195285255963175,0.00678555406011664,0.0154649265905383,0.0152479720710545,0.0226968840444798,0.0229718611156821,0.0132883854023754,0.0133791958249318,0.00722479736903436,0.0117157053780203,0.0130070602525495,0.0200239688405073
